index,amine,aldehyde,topology,aldehyde_peaks,aldehyde_amplitudes,imine_peaks,imine_amplitudes,aldehyde?,imine?
0,Nc1nc(N)nc(N)n1,O=Cc1cccc(C=O)c1,FOUR_PLUS_SIX,"[10.145726750665078, 10.129834165298146, 10.1151640864979, 10.087046435464094]","[1610227.546875, 30782.8515625, 392924.3203125, 102275.5234375]","[8.258176611700078, 8.248396559166581, 8.247174052599894, 8.230058960666275, 8.192161257098972, 8.187882484115567, 8.12064462294777, 8.110253317130931, 8.107197050714213, 8.102918277730806, 8.018565324629392, 7.892647148260613, 7.796680382775669, 7.791790356508921, 7.788734090092204, 7.783232810542112, 7.777731530992018, 7.771618998158582, 7.696434844307321, 7.576629200771977, 7.566237894955137, 7.439708465303013, 7.436040945602953, 7.360856791751692, 7.351687992501537, 7.34863172608482, 7.340685433401353, 7.338240420267978]","[405757.390625, 10120.34375, 34266.3125, 1878168.28125, 90943.3671875, 20266.4765625, 694873.5234375, 10636.6484375, 20783.4140625, 90601.5625, 22569.875, 10534740.359375, 21189.0546875, 41433.6015625, 31414.4375, 10063.96875, 32201.8984375, 79782.015625, 7762167.21875, 56228.875, 224808.84375, 10539.4140625, 99529.5703125, 10099.28125, 10050.4296875, 30470.328125, 125798.3359375, 22982.0703125]",true,true
1,Nc1nc(N)nc(N)n1,O=Cc1cccc(C=O)c1,EIGHT_PLUS_TWELVE,,[],"[8.584585865005556, 8.572360799338684, 8.497787898770765, 8.43177254416966, 8.397542360302417, 8.158542326515073, 7.888979628560552, 7.886534615427177, 7.870642030060244, 7.868197016926869, 7.78139905069208, 7.596800559122316, 7.193373392115548, 7.192150885548861, 7.036281298296245, 7.033836285162872]","[10169.8359375, 1453578.984375, 233708.8203125, 21440.5859375, 4590117.765625, 1490995.7265625, 22392.453125, 10000.1640625, 30335.640625, 31750.09375, 4745030.6640625, 31735.6015625, 43600.0078125, 10032.546875, 10003.9296875, 41449.25]",false,true
2,Nc1nc(N)nc(N)n1,O=Cc1cccc(C=O)c1,TWENTY_PLUS_THIRTY,,[],"[8.457445182070089, 8.434217557303032, 8.418324971936098, 8.38776230776892, 8.160987339648448, 8.129202168914581, 7.777731530992018, 7.774064011291957, 7.7630614521917725]","[681756.9765625, 30980.5625, 87873.6484375, 80764.8125, 845471.1796875, 278867.5546875, 10304.8671875, 10042.2265625, 496365.8828125]",false,true
3,Cc1c(CN)c(C)c(CN)c(C)c1CN,O=Cc1cccc(C=O)c1,FOUR_PLUS_SIX,[10.124944139031397],[103388.3359375],"[8.327248232717904, 8.003283992545802, 7.979445114495402, 7.777120277708676, 7.420759613519364, 7.339462926834665, 7.1884833658488, 7.182982086298708]","[346461.671875, 466629.90625, 21295.4140625, 31393579.4921875, 30698.5, 10034.6015625, 53338.9375, 74643.078125]",true,true
4,Cc1c(CN)c(C)c(CN)c(C)c1CN,O=Cc1cccc(C=O)c1,EIGHT_PLUS_TWELVE,"[10.219688397949653, 10.145115497381736]","[69940.921875, 10033.234375]","[8.426882517902909, 8.162209846215136, 8.113920836830992, 8.111475823697617, 8.110253317130931, 8.09130446534728, 7.956828743011689, 7.952549970028285, 7.94827119704488, 7.945826183911505, 7.940324904361413, 7.8938696548273, 7.87675456289368, 7.8700307767769, 7.855971951259997, 7.838856859326377, 7.8315218199262535, 7.8223530206761005, 7.813184221425946, 7.717828709224348, 7.6976573508740085, 7.69276732460726, 7.677485992523669, 7.673207219540265, 7.6408107955230555, 7.633475756122932, 7.627363223289496, 7.620028183889373, 7.611470637922562, 7.602913091955752, 7.588854266438849, 7.562570375255076, 7.559514108838357, 7.555846589138296, 7.552179069438234, 7.544844030038112, 7.411590814269209, 7.404867028152429, 7.402422015019056, 7.4005882551690245, 7.2019309380823575, 7.1927621388322045, 7.181148326448676, 7.1774808067486155, 7.176258300181928]","[245027.1171875, 1587203.5390625, 21826.8046875, 10748.6953125, 10515.328125, 10494.7421875, 10166.453125, 96524.6484375, 20220.3203125, 43697.6328125, 30593.28125, 1862222.109375, 21077.15625, 327815.078125, 20293.1484375, 231067.765625, 33053.171875, 368988.2265625, 11259.5546875, 146901.0625, 169728.6171875, 10403.671875, 20846.40625, 10059.1953125, 10234.96875, 122263.5, 20859.515625, 10232.796875, 154395.0546875, 20771.1875, 847416.453125, 41965.2265625, 58580.7421875, 34049.75, 133351.0859375, 10477.75, 10026.4375, 44934.8203125, 10720.84375, 10561.6875, 21946.1640625, 118196.1875, 10658.9609375, 10664.34375, 10159.78125]",true,true
5,Cc1c(CN)c(C)c(CN)c(C)c1CN,O=Cc1cccc(C=O)c1,TWENTY_PLUS_THIRTY,"[10.208685838849469, 10.187903227215786, 10.17812317468229, 10.145115497381736]","[160623.2890625, 21534.9375, 693502.5625, 337048.1484375]","[8.448887636103278, 8.259399118266765, 8.257565358416736, 8.228836454099588, 8.069910600430253]","[303507.7265625, 31685.2734375, 10702.8515625, 1123963.8359375, 4094602.8359375]",true,true
6,NCCN(CCN)CCN,O=Cc1cccc(C=O)c1,FOUR_PLUS_SIX,[9.99107966997915],[10258.46875],"[8.07418937341366, 7.889590881843896, 7.847414405293188, 7.800959155759074, 7.7985141426257005, 7.774064011291957, 7.738611320858029, 7.736777561007997, 7.731887534741249, 7.722718735491096, 7.71843996250769, 7.717217455941004, 7.189705872415486, 7.1842045928653935, 7.120022998114317, 7.11024294558082, 7.093739106930544, 7.083347801113701]","[20477.7578125, 356081.9453125, 147964.4453125, 10133.625, 10093.484375, 2509880.5390625, 10059.25, 10418.453125, 189195.5625, 20363.71875, 20323.0, 10584.3203125, 118758.890625, 120537.4453125, 89139.3359375, 258217.703125, 137808.9140625, 21164.3515625]",true,true
7,NCCN(CCN)CCN,O=Cc1cccc(C=O)c1,EIGHT_PLUS_TWELVE,"[10.002082229079337, 9.975187084612218, 9.969074551778784, 9.965407032078721, 9.961128259095316, 9.956238232828566, 9.952570713128505]","[2961262.7421875, 10154.25, 20996.828125, 10460.59375, 11220.875, 10221.3828125, 65908.2890625]","[8.08641443908053, 8.05218425521329, 7.921987305861105, 7.843135632309782, 7.825409287092818, 7.8137954747092895, 7.121856757964348, 7.1188004915476295, 7.096795373347261, 7.079069028130297, 7.075401508430236, 6.860851605976636]","[2799658.3984375, 473963.0234375, 4784992.5703125, 21756.125, 75700.2890625, 21276.9921875, 188062.890625, 33473.2890625, 758390.4921875, 20601.625, 53626.734375, 108491.109375]",true,true
8,NCCN(CCN)CCN,O=Cc1cccc(C=O)c1,TWENTY_PLUS_THIRTY,[10.002693482362679],[342839.6171875],"[8.618816048872796, 8.089470705497249, 7.921987305861105, 7.90242720079411, 7.901204694227424, 7.659759647306705, 7.137138090047937, 7.125524277664409, 7.121856757964348, 7.116355478414256, 7.083959054397045, 6.88530173731038, 6.841291500909641, 6.837012727926236, 6.789334971825436, 6.648135463373068]","[2666505.46875, 339081.0625, 648269.9921875, 10465.125, 10067.828125, 23310347.171875, 10472.46875, 31808.1484375, 10444.0625, 21118.328125, 3349833.59375, 8247653.5390625, 75485.6875, 31245.1796875, 4346211.2109375, 7839671.6484375]",true,true
9,CCc1c(CN)c(CC)c(CN)c(CC)c1CN,O=Cc1cccc(C=O)c1,FOUR_PLUS_SIX,"[10.002693482362679, 9.976409591178905, 9.974575831328876, 9.954404472978537]","[3430458.0078125, 10300.2578125, 10056.1484375, 67336.5078125]","[8.087025692363875, 8.053406761779977, 8.04362670924648, 8.041792949396449, 7.962941275845125, 7.921987305861105, 7.852304431559936, 7.826020540376161, 7.822964273959444, 7.816240487842665, 7.8137954747092895, 7.19887467166564, 7.098017879913948, 6.860851605976636]","[3157487.1640625, 540798.234375, 31338.90625, 10002.171875, 20395.71875, 4870414.9453125, 572961.171875, 20714.1484375, 21470.9765625, 10533.1015625, 10342.4296875, 10045.9765625, 33411.953125, 69868.34375]",true,true
10,CCc1c(CN)c(CC)c(CN)c(CC)c1CN,O=Cc1cccc(C=O)c1,EIGHT_PLUS_TWELVE,[9.997192202812586],[497483.6484375],"[8.430550037602972, 8.398764866869104, 8.081524412813783, 7.90731722706086, 7.894480908110644, 7.8908133884105816, 7.855971951259997, 7.851081924993249, 7.8046266754591365, 7.206820964349108]","[2958352.9140625, 20534.625, 483412.625, 769527.3828125, 52724.0859375, 78391.1640625, 20232.03125, 121255.5546875, 30746.453125, 10161.5546875]",true,true
11,CCc1c(CN)c(CC)c(CN)c(CC)c1CN,O=Cc1cccc(C=O)c1,TWENTY_PLUS_THIRTY,,[],"[8.484951579820551, 8.448887636103278, 8.160376086365105, 8.105363290864181, 7.775897771141988, 7.7569489193583365, 7.7153836960909725, 7.1658669943650875]","[1111560.28125, 209729.8203125, 822460.5078125, 308017.546875, 21640.203125, 1397286.8359375, 20412.9921875, 212276.3984375]",false,true
12,NCCCN(CCCN)CCCN,O=Cc1cccc(C=O)c1,FOUR_PLUS_SIX,,[],"[8.20010754978244, 8.181158697998788, 8.162209846215136, 8.139593474731422, 7.834578086342972, 7.344964206384757, 7.343741699818072, 7.34190793996804, 7.339462926834665, 7.204987204499076, 7.202542191365701, 7.090682840513825, 6.898749309543939, 6.856572832993232, 6.8272326753927395, 6.825398915542708, 6.8217313958426455]","[10330.46875, 326868.296875, 101735.015625, 138495.53125, 198111.3125, 30750.9921875, 10193.5625, 20596.59375, 10012.5703125, 31910.7109375, 10079.4375, 261537.2265625, 10288.1640625, 1719563.5390625, 10014.09375, 52379.984375, 20653.34375]",false,true
13,NCCCN(CCCN)CCCN,O=Cc1cccc(C=O)c1,EIGHT_PLUS_TWELVE,,[],"[8.1084195572809, 8.105363290864181, 8.086414439080531, 7.800959155759074, 7.717217455941004, 7.713549936240941, 7.66220466044008, 7.363913058168409, 7.360856791751692, 7.358411778618317, 7.352910499068225, 7.209265977482481, 7.204987204499076, 6.734322176324513, 6.73187716319114, 6.714762071257518, 6.674419354556841]","[10514.0703125, 10677.75, 951730.171875, 581811.0, 44244.3828125, 67695.90625, 328028.5390625, 20831.390625, 30973.7421875, 10367.09375, 20216.78125, 10121.4453125, 10052.1875, 10020.7265625, 31013.109375, 329715.203125, 308845.9921875]",false,true
14,NCCCN(CCCN)CCCN,O=Cc1cccc(C=O)c1,TWENTY_PLUS_THIRTY,"[9.739243317241593, 9.687286788157389]","[2168102.1796875, 20492.7109375]","[8.253286585433331, 8.242895279616489, 8.148151020698233, 7.970276315245249, 7.8938696548273, 7.8877571219938645, 7.5760179474886336, 7.57357293435526, 7.572350427788573, 7.570516667938541, 7.567460401521824, 7.560736615405045, 7.555846589138296, 7.1658669943650875, 7.163421981231712, 7.158531954964964, 7.154253181981558, 7.148751902431465, 7.146306889298092, 7.1365268367645935, 7.134693076914564, 7.126135530947753, 7.120634251397661, 7.119411744830973, 7.107797932447445, 7.092516600363856, 6.972710956828513]","[10295.2578125, 804941.078125, 208023.1796875, 518828.515625, 10171.015625, 136556.734375, 20782.3203125, 10489.9609375, 10393.09375, 21352.421875, 55412.296875, 168595.1171875, 10190.4921875, 10310.4765625, 20431.1015625, 10253.453125, 10054.046875, 10201.234375, 10121.65625, 10118.953125, 10008.046875, 10015.0859375, 20458.2421875, 10506.0703125, 163609.2734375, 2016492.8828125, 1262789.5546875]",true,true
